movie,img_url,img,year,synopsis,runtime,category,category1,rate,category_detail,director,director1,language
Missing Link,https://dl.airtable.com/.attachmentThumbnails/d5cf897ab255a6d3e64f0bca4ba87413/d37a65cf,Missing Link.jpg (https://dl.airtable.com/.attachments/532deaf605a5ab898f9ce4773dfdf2cd/b3a50208/MissingLink.jpg),2019,"Mr. Link recruits explorer Sir Lionel Frost to help find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight, this trio of explorers travel the world to help their new friend.",93 min,"Adventure,Comedy","Adventure, Comedy",6.7,"Adventure,Comedy",Chris Butler,Chris Butler,English
Isle of Dogs,https://dl.airtable.com/.attachmentThumbnails/8819a9c6c8fcbc97e87378ffd6ce9f6f/fcf3a875,isleofdog.png (https://dl.airtable.com/.attachments/6e860d51435ce289be2df43fe87227bd/19d793a9/isleofdog.png),2018,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",101 min,"Adventure,Comedy","Adventure, Comedy",7.9,"Adventure,Comedy",Wes Anderson,Wes Anderson,"English,Japanese"
Early Man,https://dl.airtable.com/.attachmentThumbnails/16cfa8c7e88d8e11a2df8d895c27b438/37b1bfb8,"""MV5BYWMxYWVjNzAtMTY0YS00YWQyLWExMGItMjUxODkwYzQyNzMwXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/b0806196ab7346b8efd0ca6e8384ef60/40432e8f/MV5BYWMxYWVjNzAtMTY0YS00YWQyLWExMGItMjUxODkwYzQyNzMwXkEyXkFqcGdeQXVyMjMxOTE0ODA._V1_UX182_CR00182268_AL_.jpg)"",MV5BODRjNDBiZWQtNDA2Ny00YzBiLWI3ZTYtY2M0ZjViZTYxODliXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_SY1000_SX1500_AL_.jpg (https://dl.airtable.com/.attachments/77782bad6a0ea6647af77f4841c5459f/da078958/MV5BODRjNDBiZWQtNDA2Ny00YzBiLWI3ZTYtY2M0ZjViZTYxODliXkEyXkFqcGdeQXVyNDg2MjUxNjM._V1_SY1000_SX1500_AL_.jpg)",2018,"Set at the dawn of time, when prehistoric creatures and woolly mammoths roamed the earth, Early Man tells the story of Dug, along with sidekick Hognob as they unite his tribe against a mighty enemy Lord Nooth and his Bronze Age City to save their home.",89 min,"Adventure,Comedy","Adventure, Comedy",6.1,"Adventure,Comedy",Nick Park,Nick Park,English
Moomins and the Winter Wonderland,https://dl.airtable.com/.attachmentThumbnails/4c725c988f51757e7bd11c0c413dfcfc/1ab6eb93,MV5BZWMyZDM4MzYtOWIwZC00NGRmLWJjYzEtMDQzZDFkZjA1ODk5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg (https://dl.airtable.com/.attachments/a8fbc70b2ad19ce3f047b17f5e503379/6d520b3d/MV5BZWMyZDM4MzYtOWIwZC00NGRmLWJjYzEtMDQzZDFkZjA1ODk5XkEyXkFqcGdeQXVyNzI1NzMxNzM._V1_.jpg),2017,Moomintroll decides to stay awake to explore the winter instead of having his winter slumber as usual. Winter is certainly totally different than he had imagined.,82 min,"Adventure,Comedy","Adventure, Comedy",5.5,"Adventure,Comedy",Ira Carpelan,Ira Carpelan,"Finnish,English"
Dyrene i Hakkebakkeskogen,https://dl.airtable.com/.attachmentThumbnails/b362189248ed1ac5464359ef70d472bf/7859bcb7,"""MV5BMmZiMjU5NjEtMGM4Yi00Y2U3LWFmMjEtYzZmMGE0MmU5NDhlXkEyXkFqcGdeQXVyNjQ3NzIyNTQ@._V1_UY268_CR4,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/adafdcb51e2e95cc56689ab541dbc0ab/2914f5aa/MV5BMmZiMjU5NjEtMGM4Yi00Y2U3LWFmMjEtYzZmMGE0MmU5NDhlXkEyXkFqcGdeQXVyNjQ3NzIyNTQ._V1_UY268_CR40182268_AL_.jpg)""",2016,"In the woods there lives a mouse and his friends, and they are always scared of getting eaten by the fox or other predators who can't get food in a fair way. They have to make some laws so they all can live togheter in peace.",75 min,"Family,Musical","Family, Musical",6.9,"Family,Musical",Rasmus A. Sivertsen,Rasmus A. Sivertsen,Norwegian
My Life as a Zucchini,https://dl.airtable.com/.attachmentThumbnails/a15d165372590c96b83ef2d2befb7106/5728c7cf,"MV5BZGE2YmU5NTAtZGQyYy00NjU1LWFkY2QtYjY2NWEyYTQ5NDU0XkEyXkFqcGdeQXVyNjkxOTM4ODY@._V1_.jpg (https://dl.airtable.com/.attachments/6304e53cef10ac3db74acaf9ba7ed165/3f922162/MV5BZGE2YmU5NTAtZGQyYy00NjU1LWFkY2QtYjY2NWEyYTQ5NDU0XkEyXkFqcGdeQXVyNjkxOTM4ODY._V1_.jpg),""MV5BMGZhZTMxNWItZDU1Yi00NmM4LTk3NzktZGU5Nzk0ZjdlZjQ4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR2,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/729e084b995916f74b7f727e53f78178/3dc2b9f5/MV5BMGZhZTMxNWItZDU1Yi00NmM4LTk3NzktZGU5Nzk0ZjdlZjQ4XkEyXkFqcGdeQXVyNTAyODkwOQ._V1_UY268_CR20182268_AL_.jpg)""",2016,"After losing his mother, a young boy is sent to a foster home with other orphans his age where he begins to learn the meaning of trust and true love.",70 min,"Comedy,Drama","Comedy, Drama",7.8,"Comedy,Drama",Claude Barras,Claude Barras,"French,English"
ParaNorman,https://dl.airtable.com/.attachmentThumbnails/9262bb8d0229f9512dd1c77200e40c22/d0726128,"""MV5BMjM0MzMxMzAyNl5BMl5BanBnXkFtZTcwNDA5OTIyOA@@._V1_SX1777_CR0,0,1777,999_AL_.jpg (https://dl.airtable.com/.attachments/aa0c3e5d4893872c16d94220b0e2f0ac/d746c979/MV5BMjM0MzMxMzAyNl5BMl5BanBnXkFtZTcwNDA5OTIyOA._V1_SX1777_CR001777999_AL_.jpg)"",""MV5BMjA1OTU1NDM3N15BMl5BanBnXkFtZTcwMjYxNTg0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/6c7d565c17c644d658d1632061b1ba9d/6313dc54/MV5BMjA1OTU1NDM3N15BMl5BanBnXkFtZTcwMjYxNTg0Nw._V1_UX182_CR00182268_AL_.jpg)""",2012,"A misunderstood boy takes on ghosts, zombies and grown-ups to save his town from a centuries-old curse.",92 min,"Adventure,Comedy","Adventure, Comedy",7.0,"Adventure,Comedy",Chris Butler,Chris Butler,English
The Pirates! Band of Misfits,https://dl.airtable.com/.attachmentThumbnails/425e442919da45b2f0e8415db013e536/d8e2a802,"""MV5BMTg0NzkyNzc2NV5BMl5BanBnXkFtZTgwOTk0MjgwMjE@._V1_SY1000_CR0,0,1404,1000_AL_.jpg (https://dl.airtable.com/.attachments/faab646fc142129d8125fd1fd46df9c3/ca6efe22/MV5BMTg0NzkyNzc2NV5BMl5BanBnXkFtZTgwOTk0MjgwMjE._V1_SY1000_CR0014041000_AL_.jpg)"",""MV5BNDhkOGZkZWMtNGI4Mi00ZWI3LTgyYTgtMDU4ZDI3NTNjMWFiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/c0c3767fcf81f1ad79c0f67acf421497/b0baa4d7/MV5BNDhkOGZkZWMtNGI4Mi00ZWI3LTgyYTgtMDU4ZDI3NTNjMWFiXkEyXkFqcGdeQXVyNjk1Njg5NTA._V1_UX182_CR00182268_AL_.jpg)""",2012,Pirate Captain sets out on a mission to defeat his rivals Black Bellamy and Cutlass Liz for the Pirate of the year Award. The quest takes Captain and his crew from the shores of Blood Island to the foggy streets of Victorian London.,88 min,"Adventure,Comedy","Adventure, Comedy",6.7,"Adventure,Comedy",Peter Lord,Peter Lord,English
Jackboots on Whitehall,https://dl.airtable.com/.attachmentThumbnails/a1221a772726330b094e342f95114ad6/6735fc5d,"MV5BNTFmM2Q5MWEtYmFhNi00NTk3LWFjNWItYThiMGYyMjg1MDQwXkEyXkFqcGdeQXVyNzEwODIxNzE@._V1_.jpg (https://dl.airtable.com/.attachments/d7fb5b49e779585dd9aaba5818d33271/77b5aa54/MV5BNTFmM2Q5MWEtYmFhNi00NTk3LWFjNWItYThiMGYyMjg1MDQwXkEyXkFqcGdeQXVyNzEwODIxNzE._V1_.jpg),""MV5BZDFjNTg0ZWUtOTE4YS00NTljLTg1MzAtNWEwOGRkMzA1NTQxL2ltYWdlXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_UY268_CR4,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/ffab3c8e653892c0a0c42e7a3d771f71/a60ca5c7/MV5BZDFjNTg0ZWUtOTE4YS00NTljLTg1MzAtNWEwOGRkMzA1NTQxL2ltYWdlXkEyXkFqcGdeQXVyNzM0MDQ1Mw._V1_UY268_CR40182268_AL_.jpg)""",2010,A satirical alternative history of World War II where the Nazis seize London and England must band together to prevent a full-on invasion.,91 min,"Comedy,Sci-Fi","Comedy, Sci-Fi",5.2,"Comedy,Sci-Fi",Edward McHenry,Edward McHenry,English
The Sandman and the Lost Sand of Dreams,https://dl.airtable.com/.attachmentThumbnails/f39b1d8eff187e676f9681454fbfbe0d/c5262b4c,"""MV5BMjE4MjQ2NDEzMF5BMl5BanBnXkFtZTcwNzE3NTIyNQ@@._V1_SX1500_CR0,0,1500,999_AL_.jpg (https://dl.airtable.com/.attachments/cc44378908f2bb978b82e8a525ca9617/ded2d538/MV5BMjE4MjQ2NDEzMF5BMl5BanBnXkFtZTcwNzE3NTIyNQ._V1_SX1500_CR001500999_AL_.jpg)"",""MV5BM2RjMWIzOTAtMzQ4YS00YWM5LWI2ZDMtZDYzOWZiNWY4NDExXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY268_CR3,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/1584e1fdd2628cb17bf0e684d517243a/367c410e/MV5BM2RjMWIzOTAtMzQ4YS00YWM5LWI2ZDMtZDYzOWZiNWY4NDExXkEyXkFqcGdeQXVyNDUxNjc5NjY._V1_UY268_CR30182268_AL_.jpg)""",2010,"Each night, like every other child in the world, Miko goes to Dreamland thanks to magic sand dispersed by the Sandman. But one night, the evil dream Habumar steals the Sand of Dreams and ",83 min,"Adventure,Comedy","Adventure, Comedy",5.8,"Adventure,Comedy",Jesper Møller,Jesper Møller,German
Toys in the Attic,https://dl.airtable.com/.attachmentThumbnails/b5a501e939971bdbdc4ff0b8707a1210/05c7be00,"""MV5BMzg5NjUyODQ5MV5BMl5BanBnXkFtZTcwMTA2OTkzNw@@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/541f70059b3aaa2c3933d1a0868c6a6a/737ef92c/MV5BMzg5NjUyODQ5MV5BMl5BanBnXkFtZTcwMTA2OTkzNw._V1_UX182_CR00182268_AL_.jpg)"",""MV5BMTM1NTg5ODk0OV5BMl5BanBnXkFtZTcwNjcyMjM0OA@@._V1_SY1000_CR0,0,1527,1000_AL_.jpg (https://dl.airtable.com/.attachments/31cf29cea8d946ef1b725cdff2ad0035/2204f08f/MV5BMTM1NTg5ODk0OV5BMl5BanBnXkFtZTcwNjcyMjM0OA._V1_SY1000_CR0015271000_AL_.jpg)""",2009,"A teddy bear, a mechanical mouse, and a marionette join forces to save their kidnapped friend, Buttercup the doll, from the denizens of the Land of Evil.",80 min,"Family,Fantasy","Family, Fantasy",6.3,"Family,Fantasy",Jirí Barta,Jirí Barta,"Czech,English"
A Town Called Panic,https://dl.airtable.com/.attachmentThumbnails/a869c99e8876e097301360f146d7163c/1297a32d,"""MV5BNDAxNDkwOTM1NF5BMl5BanBnXkFtZTcwODg0MjUwMw@@._V1_SX1535_CR0,0,1535,999_AL_.jpg (https://dl.airtable.com/.attachments/8c4ff94859b09fbfb0df04fa55388c94/d8ed57e9/MV5BNDAxNDkwOTM1NF5BMl5BanBnXkFtZTcwODg0MjUwMw._V1_SX1535_CR001535999_AL_.jpg)"",""MV5BMjEyODIyMzU1OF5BMl5BanBnXkFtZTcwNzg3OTQwMw@@._V1_UY268_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/2609d5ce23aca667725259b058ec9267/2fb2cc7e/MV5BMjEyODIyMzU1OF5BMl5BanBnXkFtZTcwNzg3OTQwMw._V1_UY268_CR00182268_AL_.jpg)""",2009,"Cowboy and Indian's only wish was to come up with a brilliant idea for Mr Horse's birthday, but when their plan ends up in utter disaster, they'll need to travel the world and back to make things right again.",75 min,"Adventure,Comedy","Adventure, Comedy",7.5,"Adventure,Comedy",Stéphane Aubier,Stéphane Aubier,French
Mary and Max,https://dl.airtable.com/.attachmentThumbnails/a355b61132629034593c79c2d4ddeb7e/e6b5bbc4,"""MV5BMTcxNTY3OTYxMF5BMl5BanBnXkFtZTcwNjg5ODM5Mg@@._V1_SX1500_CR0,0,1500,999_AL_.jpg (https://dl.airtable.com/.attachments/3a4e393f6f70fc808a630c51a408ee93/903ca60b/MV5BMTcxNTY3OTYxMF5BMl5BanBnXkFtZTcwNjg5ODM5Mg._V1_SX1500_CR001500999_AL_.jpg)""",2009,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",92 min,"Comedy,Drama","Comedy, Drama",8.1,"Comedy,Drama",Adam Elliot,Adam Elliot,"English,Yiddish"
Edison & Leo,https://dl.airtable.com/.attachmentThumbnails/b52cd9095722b18bc0ef18f294dd3a2e/7345ca17,MV5BNTZlMzNjY2ItMzI2ZC00ZDVkLTgyYjgtNjNjYWFlMDBiMjE1XkEyXkFqcGdeQXVyODEwMTc2ODQ@._V1_.jpg (https://dl.airtable.com/.attachments/a6a3dc82138111d14f6bd989f0fd8fd6/d94b064e/MV5BNTZlMzNjY2ItMzI2ZC00ZDVkLTgyYjgtNjNjYWFlMDBiMjE1XkEyXkFqcGdeQXVyODEwMTc2ODQ._V1_.jpg),2008,"A genius inventor's world threatens to fly apart at the seams. His son, who has electricity crackling through his veins due to an accident in his father's laboratory, discovers the truth about his father's past.",79 min,"Comedy,Fantasy","Comedy, Fantasy",5.5,"Comedy,Fantasy",Neil Burns,Neil Burns,"English,French"
$9.99,https://dl.airtable.com/.attachmentThumbnails/15460c6fbd14ecac5704926fa4bca21c/7f895bca,"""MV5BMTMwNzM1MzE0Nl5BMl5BanBnXkFtZTcwOTA1NTQwMg@@._V1_UY268_CR1,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/b28eb0589b64422472fff7c7f7b721f5/bb8dd9e9/MV5BMTMwNzM1MzE0Nl5BMl5BanBnXkFtZTcwOTA1NTQwMg._V1_UY268_CR10182268_AL_.jpg)""",2008,A stop-motion animated story about people living in a Sydney apartment complex looking for meaning in their lives.,78 min,"Drama,Fantasy","Drama, Fantasy",6.7,"Drama,Fantasy",Tatia Rosenthal,Tatia Rosenthal,English
Tengers,https://dl.airtable.com/.attachmentThumbnails/fdacbf7c194da333283dc8c1998930ed/af2363f1,"MV5BNjdlYzljMDgtNGMxMy00NTdiLTliMzEtZDc2Nzc0ODY3ZDJlXkEyXkFqcGdeQXVyNzEwODIxNzE@._V1_.jpg (https://dl.airtable.com/.attachments/86640a9b66863577c23a8fde7f910480/b9d1d175/MV5BNjdlYzljMDgtNGMxMy00NTdiLTliMzEtZDc2Nzc0ODY3ZDJlXkEyXkFqcGdeQXVyNzEwODIxNzE._V1_.jpg),""MV5BMjEyNDYyMTA2MV5BMl5BanBnXkFtZTgwMjkxMzA2MDE@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/46eae06a92f0d7d7cf5c6c2c4fc0d80b/9f8f0e7d/MV5BMjEyNDYyMTA2MV5BMl5BanBnXkFtZTgwMjkxMzA2MDE._V1_UX182_CR00182268_AL_.jpg)""",2007,"Whilst working on the great South African novel, an unemployed writer gets caught up in the harsh realities of life in the city of Johannesburg.",68 min,"Comedy,Drama","Comedy, Drama",7.3,"Comedy,Drama",Michael J. Rix,Michael J. Rix,English
Blood Tea and Red String,https://dl.airtable.com/.attachmentThumbnails/f24ca65f4c2c43203f5efd9e9db7aa07/bed2f8ec,"""MV5BOGMxOWQ4NWQtM2RjNi00ODZmLThjNGQtODUzYTQwMzk2ZTJhXkEyXkFqcGdeQXVyMjExMjI5NzI@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/e6f69eaa25f1efac71ad632ba08ff6dd/522defb7/MV5BOGMxOWQ4NWQtM2RjNi00ODZmLThjNGQtODUzYTQwMzk2ZTJhXkEyXkFqcGdeQXVyMjExMjI5NzI._V1_UX182_CR00182268_AL_.jpg)""",2006,A handmade stop-motion fairy tale for adults that tells the tale of the struggle between the aristocratic White Mice and the rustic Creatures Who Dwell Under the Oak over the doll of their heart's desire.,71 min,Fantasy,Fantasy,7.1,Fantasy,Christiane Cegavske,Christiane Cegavske,English
Live Freaky Die Freaky,https://dl.airtable.com/.attachmentThumbnails/c580048f453b28ed66dcfac07d8e6baa/d3c18baf,"""MV5BMTU1MTE1NjY4MF5BMl5BanBnXkFtZTcwODkzNzEzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/3bcc6528b64bb32f01048c6a17a68fc4/3809ef73/MV5BMTU1MTE1NjY4MF5BMl5BanBnXkFtZTcwODkzNzEzMQ._V1_UX182_CR00182268_AL_.jpg)""",2006,"It is the year 3069 and the Earth has been robbed of all its natural resources, destroyed by war and ozone depletion, and is now only a barren desert. The humans who inhabit this empty ",75 min,"Comedy,Musical","Comedy, Musical",5.0,"Comedy,Musical",John Roecker,John Roecker,English
Disaster!,https://dl.airtable.com/.attachmentThumbnails/0562139a1cdcc6b6206caba951cf2c04/752f24be,MV5BZTNlMmI0OTctYjA1MC00NmFmLWE4OTMtNzA3NmZkZWFhYzJlXkEyXkFqcGdeQXVyODEwMTc2ODQ@._V1_.jpg (https://dl.airtable.com/.attachments/c2fb6013403e49c43b7d4a0aa49eb209/84665cfb/MV5BZTNlMmI0OTctYjA1MC00NmFmLWE4OTMtNzA3NmZkZWFhYzJlXkEyXkFqcGdeQXVyODEwMTc2ODQ._V1_.jpg),2005,"A spoof of disaster films, an asteroid is coming towards earth and Harry Bottoms is in charge of saving us all again",83 min,"Comedy,Sci-Fi","Comedy, Sci-Fi",5.0,"Comedy,Sci-Fi",Roy T. Wood,Roy T. Wood,English
Wallace & Gromit: The Curse of the Were-Rabbit,https://dl.airtable.com/.attachmentThumbnails/a27b119a8ab04e9a8e7e360d36e076b7/aa23a75d,"""MV5BMTk1NzIwNTM1NV5BMl5BanBnXkFtZTcwMDA1NzkyMw@@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/a3518f369c1225fa00143fe7f508d907/a16cc714/MV5BMTk1NzIwNTM1NV5BMl5BanBnXkFtZTcwMDA1NzkyMw._V1_UX182_CR00182268_AL_.jpg)""",2005,"Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.",85 min,"Adventure,Comedy","Adventure, Comedy",7.4,"Adventure,Comedy",Steve Box,Steve Box,English
The Legend of the Sky Kingdom,https://dl.airtable.com/.attachmentThumbnails/3ef8b0063c9ba82801e85015522818de/8305cfc2,"""MV5BMTI3NTYzMTAwNV5BMl5BanBnXkFtZTcwOTk0NzgxMw@@._V1_UY268_CR3,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/ad693c7def24b16f628ee449ff9971dd/ef22671d/MV5BMTI3NTYzMTAwNV5BMl5BanBnXkFtZTcwOTk0NzgxMw._V1_UY268_CR30182268_AL_.jpg)""",2003,"Three children make a daring escape from the underground city in which they are slaves of the Evil Emperor, and go in search of the fabled Sky Kingdom and the great Prince Ariel.",73 min,"Adventure,Family","Adventure, Family",6.3,"Adventure,Family",Roger Hawkins,Roger Hawkins,English
Prop and Berta,https://dl.airtable.com/.attachmentThumbnails/a8f1287d26f9eeb981de751a4077b300/01d46c16,"""MV5BNjI3NDE2ODkzN15BMl5BanBnXkFtZTgwMzg0OTk1MDE@._V1_UY268_CR9,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/f5878c98705d7ff9c82276b0d0ecf8f6/5cf8a585/MV5BNjI3NDE2ODkzN15BMl5BanBnXkFtZTgwMzg0OTk1MDE._V1_UY268_CR90182268_AL_.jpg)""",2000,"Prop & Berta is the story of a friendship between a little stout man and a big and proud cow, who are able to talk to each other. Together they confront an ugly and evil witch who is ",77 min,Family,Family,5.7,Family,Per Fly,Per Fly,Danish
The Miracle Maker,https://dl.airtable.com/.attachmentThumbnails/09606315b61f8597ebef92fe25db652d/1b308cc0,"""MV5BMTcyNTg2MjYwNF5BMl5BanBnXkFtZTcwMDUyMTc0MQ@@._V1_UY268_CR1,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/0171c3dcdd9cee768f464d18a1d633ec/95e08dd7/MV5BMTcyNTg2MjYwNF5BMl5BanBnXkFtZTcwMDUyMTc0MQ._V1_UY268_CR10182268_AL_.jpg)""",2000,The story of Jesus Christ.,90 min,"Biography,Drama","Biography, Drama",7.0,"Biography,Drama",Derek W. Hayes,Derek W. Hayes,English
